,Budget FAJ (en euros),Montant des aides individuelles attribuées (en euros),Nombre d'aides individuelles attribuées (2),Montant moyen de l'aide individuelle attribuée (en euros),Nombre de bénéficiaires du FAJ,Part de l'ensemble des jeunes de 20 à 24 ans vivant chez les parents en %,Population étudiante,Taux pauvreté département,Population étudiante sous le seuil de pauvreté,Loyer moyen m2 appartement,Loyer moyen m2 maison,Consommation énergétique moyenne
Gironde,680000.0,580800.24,2349.0,247.25,1687.0,36.7,102781.0,12.4,12744.844,15.5,13.3,4.558629671097232
Landes,221347.49,196992.76,599.0,328.87,566.0,47.14,2464.0,11.4,280.896,12.2,11.8,4.247058096929772
Lot-et-Garonne,203165.91,113447.48,687.0,165.13,389.0,46.64,4053.0,16.8,680.904,10.6,10.0,4.282431143504492
Pyrénées-Atlantiques,506374.07,493637.9,2440.0,202.31,1316.0,47.54,19776.0,12.2,2412.672,13.2,12.9,4.568271150262543
Deux-Sèvres,197023.0,71678.0,657.0,109.1,608.0,42.76,2882.0,11.9,342.958,10.5,9.3,3.8158248879403227
Vienne,253300.37,127703.32,947.0,134.85,593.0,29.48,29741.0,14.0,4163.74,11.3,9.8,3.892350447764447
Haute-Vienne,295827.0,170341.0,1446.0,117.8,1438.0,33.86,19159.0,15.3,2931.327,10.8,9.6,4.46842895719848
Ariège,185529.0,73407.71,264.0,278.06,222.0,49.07,928.0,17.9,166.112,9.6,9.7,4.428688679604947
Aude,200000.0,149994.46,985.0,152.28,552.0,49.04,3358.0,20.0,671.6,11.1,10.5,4.032287768513527
Aveyron,103500.0,91916.24,348.0,264.13,262.0,40.57,3162.0,14.0,442.68,10.2,10.3,3.922491271112057
Gard,300000.0,276301.0,1370.0,201.68,1285.0,54.2,14962.0,19.4,2902.628,12.1,11.6,4.199117752525335
Haute-Garonne,680000.0,575744.0,1542.0,373.37,848.0,31.13,117998.0,13.3,15693.734,14.0,12.5,4.208324318598615
Gers,82157.39,68041.89,312.0,218.08,286.0,48.77,1343.0,15.0,201.45,10.6,10.3,3.8818914089131993
Hérault,954844.0,670365.0,2192.0,305.82,2192.0,37.32,83377.0,18.7,15591.499,14.3,12.7,3.9291011188166087
Lot,60500.0,26977.0,154.0,175.18,139.0,43.81,1460.0,14.9,217.54,9.9,9.9,3.8641615022515543
Lozère,45000.0,34172.12,341.0,100.21,207.0,38.4,1375.0,14.9,204.875,10.4,9.7,2.5897449773761045
Hautes-Pyrénées,170000.0,111208.24,587.0,189.45,440.0,44.33,5384.0,15.5,834.52,10.5,10.7,5.303939954157745
Pyrénées-Orientales,410797.03,210212.19,2800.0,75.08,1057.0,52.0,10733.0,20.7,2221.731,11.8,11.1,3.749517991343759
Tarn,238831.96,72665.49,467.0,155.6,329.0,45.55,7165.0,15.3,1096.245,10.5,10.3,4.119928552629454
Tarn-et-Garonne,130000.0,117007.85,832.0,140.63,720.0,50.67,1648.0,16.3,268.624,10.7,10.7,3.8968940592518186
Loire-Atlantique,2968599.44,701788.0,3098.0,226.53,1976.0,38.68,65396.0,10.0,6539.6,13.5,12.2,4.195028859243502
Maine-et-Loire,690000.0,398657.0,2324.0,171.54,1543.0,35.48,44367.0,11.1,4924.737,12.0,10.6,3.779850454089493
Mayenne,319401.71,,603.0,,380.0,39.3,4650.0,11.0,511.5,10.0,9.0,3.8223447584065595
Sarthe,390074.65,97490.31,,,475.0,43.54,14186.0,12.9,1829.994,10.9,9.5,4.321670783038379
Vendée,677148.0,69820.0,785.0,88.94,785.0,46.44,6404.0,8.9,569.956,12.2,11.1,4.023676607599064
Alpes-de-Haute-Provence,94462.71,68615.83,211.0,325.19,211.0,49.12,953.0,16.6,158.198,11.7,11.4,3.9982416908108864
Hautes-Alpes,72008.39,30901.68,212.0,145.76,136.0,46.9,1107.0,13.9,153.873,12.0,12.5,4.264700417802382
Alpes-Maritimes,530791.0,288813.0,2768.0,104.34,1605.0,55.64,47047.0,16.2,7621.614,18.4,19.8,4.769783651913433
Bouches-du-Rhône,1325000.0,956863.68,3072.0,311.48,2080.0,53.69,96566.0,17.9,17285.314,15.9,15.8,3.59961889656957
Var,694590.0,631534.0,4832.0,130.7,2314.0,56.04,15887.0,15.3,2430.711,14.7,15.0,4.071634232674225
Vaucluse,765479.56,480293.99,1887.0,254.53,1309.0,53.85,10566.0,19.5,2060.37,12.3,12.5,4.072030184371153
Guadeloupe,380267.34,344722.03,1661.0,207.54,616.0,70.9,9603.0,,0.0,12.0,13.0,1.8835149351208027
Martinique,355000.0,,704.0,,704.0,73.64,8628.0,26.7,2303.676,12.0,13.0,1.6881780192400857
Guyane,255074.04,234381.0,490.0,478.33,490.0,50.97,4250.0,,0.0,13.0,14.0,1.1251099872690988
La Réunion,400000.0,211471.15,1152.0,183.57,1019.0,60.64,21426.0,35.6,7627.656,10.0,12.0,1.4740968307798903
Mayotte,,,,,,,1655.0,,0.0,13.0,13.0,0.6663533722327099
